,range,best_score,random_score,model1_punish_0,model1_punish_0.04,model1_punish_0.06,model1_punish_0.08,model1_punish_0.1,model1_punish_0.2,model2_punish_0,model2_punish_1,model2_punish_5,model2_punish_10,model3_punish_0,model3_punish_1,model3_punish_5,model3_punish_10,model4_punish_0
0,"('2019-10-26', '2019-11-04')",-0.11536147249900527,-0.1786047354887949,-0.12992328886519125,-0.12992328886519125,-0.12992328886519125,-0.11536147249900527,-0.11536147249900527,-0.11536147249900527,-0.12992328886519125,-0.12992328886519125,-0.11536147249900527,-0.11536147249900527,-0.12992328886519125,-0.12992328886519125,-0.15159193829775752,-0.16212346370795022,-0.12992328886519125
1,"('2019-10-27', '2019-11-05')",-0.11284765221367046,-0.1773478253461275,-0.12136296144336692,-0.11284765221367046,-0.11284765221367046,-0.11284765221367046,-0.11284765221367046,-0.13806636105038309,-0.12136296144336692,-0.11284765221367046,-0.13806636105038309,-0.13806636105038309,-0.12136296144336692,-0.11284765221367046,-0.1345163016462367,-0.16212346370795022,-0.12136296144336692
2,"('2019-10-28', '2019-11-06')",-0.11098832796733178,-0.17641816322295817,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.11098832796733178,-0.1345163016462367,-0.11098832796733178,-0.11098832796733178,-0.1345163016462367,-0.16413994962207787,-0.11098832796733178,-0.11098832796733178,-0.1362070368040444,-0.1362070368040444,-0.11098832796733178
3,"('2019-10-29', '2019-11-07')",-0.1097633842332855,-0.175805691355935,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.1097633842332855,-0.13329135791219043,-0.1097633842332855,-0.1097633842332855,-0.1339710817144441,-0.1895111565941911,-0.1097633842332855,-0.1097633842332855,-0.13498209306999812,-0.13498209306999812,-0.1097633842332855
4,"('2019-10-30', '2019-11-08')",-0.10643941933545334,-0.1741437089070189,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.10643941933545334,-0.1585800296346454,-0.10643941933545334,-0.10643941933545334,-0.15656354372051778,-0.20982726377631122,-0.10643941933545334,-0.10643941933545334,-0.13165812817216596,-0.15825427887832547,-0.10643941933545334
5,"('2019-10-31', '2019-11-09')",-0.09975213686885234,-0.17080006767371844,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.1510307135683751,-0.09975213686885234,-0.09975213686885234,-0.1776268642745346,-0.20126693635448686,-0.09975213686885234,-0.09975213686885234,-0.12497084570556498,-0.1515669964117245,-0.09975213686885234
6,"('2019-11-01', '2019-11-10')",-0.09975213686885234,-0.16223907407784116,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.153419166793376,-0.09975213686885234,-0.09975213686885234,-0.15409889059562967,-0.21662928964187192,-0.09975213686885234,-0.09975213686885234,-0.10683784715825637,-0.1344450092199699,-0.09975213686885234
7,"('2019-11-02', '2019-11-11')",-0.09975213686885234,-0.15796052686748158,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.14087115546905563,-0.09975213686885234,-0.09975213686885234,-0.1415508792713093,-0.18044120623759927,-0.09975213686885234,-0.09975213686885234,-0.10683784715825637,-0.1344450092199699,-0.09975213686885234
8,"('2019-11-03', '2019-11-12')",-0.09975213686885234,-0.1565802914395366,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.15452477933369343,-0.09975213686885234,-0.09975213686885234,-0.10683784715825637,-0.13168453836407998,-0.09975213686885234
9,"('2019-11-04', '2019-11-13')",-0.09975213686885234,-0.13807385741022302,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.1149547285651498,-0.09975213686885234,-0.09975213686885234,-0.1149547285651498,-0.1149547285651498,-0.09975213686885234,-0.09975213686885234,-0.10683784715825637,-0.11040604122372688,-0.09975213686885234
10,"('2019-11-05', '2019-11-14')",-0.09774812676740068,-0.12947055651134848,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.10683784715825637,-0.10670688201202808,-0.09975213686885234
11,"('2019-11-06', '2019-11-15')",-0.09962117172262402,-0.1338487065968968,-0.09962117172262402,-0.09962117172262402,-0.10784885851381039,-0.10784885851381039,-0.10784885851381039,-0.10784885851381039,-0.09962117172262402,-0.10784885851381039,-0.10784885851381039,-0.10784885851381039,-0.09962117172262402,-0.09962117172262402,-0.10670688201202808,-0.10670688201202808,-0.09962117172262402
12,"('2019-11-07', '2019-11-16')",-0.10149863063028686,-0.1443808452147551,-0.10668673673591303,-0.1060271582097744,-0.1060271582097744,-0.1060271582097744,-0.1060271582097744,-0.10972631742147321,-0.10668673673591303,-0.1060271582097744,-0.10972631742147321,-0.1272246769111247,-0.10668673673591303,-0.10668673673591303,-0.11377244702531704,-0.10858434091969087,-0.10668673673591303
13,"('2019-11-08', '2019-11-17')",-0.10858434091969087,-0.16016883048995365,-0.10924391944582952,-0.11377244702531704,-0.10858434091969087,-0.10858434091969087,-0.10858434091969087,-0.10858434091969087,-0.10924391944582952,-0.11377244702531704,-0.12978185962104122,-0.12978185962104122,-0.10924391944582952,-0.10924391944582952,-0.11377244702531704,-0.10858434091969087,-0.10924391944582952
14,"('2019-11-09', '2019-11-18')",-0.12390507651921903,-0.17627578870650096,-0.13687490842938302,-0.12390507651921903,-0.12390507651921903,-0.1362153299032444,-0.1362153299032444,-0.1362153299032444,-0.13687490842938302,-0.12390507651921903,-0.1362153299032444,-0.1611929862552963,-0.13687490842938302,-0.13687490842938302,-0.12390507651921903,-0.13790378874164663,-0.13687490842938302
15,"('2019-11-10', '2019-11-19')",-0.1430985851191177,-0.19362764040571076,-0.15775687586768394,-0.1430985851191177,-0.1430985851191177,-0.1430985851191177,-0.1430985851191177,-0.15918897615384464,-0.15775687586768394,-0.1430985851191177,-0.1430985851191177,-0.15918897615384464,-0.15775687586768394,-0.14478704395751998,-0.14478704395751998,-0.1608774349922469,-0.15775687586768394
16,"('2019-11-11', '2019-11-20')",-0.15264025560474476,-0.19839847564852428,-0.15432871444314705,-0.15775687586768394,-0.15775687586768394,-0.15984855467998327,-0.15984855467998327,-0.15984855467998327,-0.15432871444314705,-0.15775687586768394,-0.15984855467998327,-0.15984855467998327,-0.15432871444314705,-0.15432871444314705,-0.16153701351838556,-0.16153701351838556,-0.15432871444314705
17,"('2019-11-12', '2019-11-21')",-0.15015280066430015,-0.197154748178302,-0.15526942092723933,-0.15526942092723933,-0.15526942092723933,-0.16153701351838556,-0.16153701351838556,-0.16153701351838556,-0.15526942092723933,-0.15432871444314705,-0.16153701351838556,-0.16153701351838556,-0.15526942092723933,-0.15432871444314705,-0.1732670706662049,-0.16153701351838556,-0.15526942092723933
18,"('2019-11-13', '2019-11-22')",-0.15015280066430015,-0.20751399225143707,-0.15015280066430015,-0.15526942092723933,-0.15526942092723933,-0.15432871444314705,-0.15432871444314705,-0.16233980331722506,-0.15015280066430015,-0.15432871444314705,-0.1732670706662049,-0.16233980331722506,-0.15015280066430015,-0.15432871444314705,-0.1732670706662049,-0.1732670706662049,-0.15015280066430015
19,"('2019-11-14', '2019-11-23')",-0.15956757992818252,-0.21222138188337825,-0.15956757992818252,-0.1637434937070294,-0.16933961899235395,-0.16933961899235395,-0.1764100013823397,-0.19135859115770565,-0.15956757992818252,-0.1637434937070294,-0.19534835760539754,-0.19135859115770565,-0.15956757992818252,-0.1637434937070294,-0.18268184993008724,-0.19534835760539754,-0.15956757992818252
20,"('2019-11-15', '2019-11-24')",-0.16624746633932866,-0.21556132508895134,-0.16624746633932866,-0.17042338011817554,-0.1760195054035001,-0.1760195054035001,-0.18308988779348584,-0.22806630465757688,-0.16624746633932866,-0.17042338011817554,-0.21311771488221093,-0.22806630465757688,-0.16624746633932866,-0.17042338011817554,-0.18936173634123338,-0.20202824401654368,-0.16624746633932866
21,"('2019-11-16', '2019-11-25')",-0.1627022407710277,-0.21378871230480084,-0.1627022407710277,-0.17247427983519914,-0.17247427983519914,-0.17247427983519914,-0.19157483957494442,-0.23694839661706535,-0.1627022407710277,-0.1668781545498746,-0.21091033597603212,-0.23694839661706535,-0.1627022407710277,-0.18581651077293243,-0.19141263605825695,-0.20625491717479988,-0.1627022407710277
22,"('2019-11-17', '2019-11-26')",-0.14077298215151696,-0.20073612610562205,-0.14171368863560924,-0.14636910743684145,-0.14636910743684145,-0.14636910743684145,-0.16546966717658676,-0.23277248283821844,-0.14171368863560924,-0.14077298215151696,-0.21084322421870766,-0.22074230548845888,-0.14171368863560924,-0.1597113383745748,-0.1653074636598993,-0.1801497447764422,-0.14171368863560924
23,"('2019-11-18', '2019-11-27')",-0.11757876779879431,-0.18166472404157769,-0.11757876779879431,-0.12317489308411884,-0.12317489308411884,-0.13426436394978608,-0.14133474633977183,-0.196835340927434,-0.11757876779879431,-0.11757876779879431,-0.18480516357767443,-0.20673442219718519,-0.11757876779879431,-0.11757876779879431,-0.15320272017284392,-0.16310180144259515,-0.11757876779879431
24,"('2019-11-19', '2019-11-28')",-0.09852195849048964,-0.16580306554977026,-0.09852195849048964,-0.09852195849048964,-0.11055213584024919,-0.10961142935615689,-0.10961142935615689,-0.16563003770063334,-0.09852195849048964,-0.09852195849048964,-0.1777347811876887,-0.19406791452187494,-0.09852195849048964,-0.09852195849048964,-0.1419178095910964,-0.16310180144259515,-0.09852195849048964
25,"('2019-11-20', '2019-11-29')",-0.09346923467768753,-0.14826279009900664,-0.09346923467768753,-0.09852195849048964,-0.11055213584024919,-0.11055213584024919,-0.10961142935615689,-0.13426436394978608,-0.09346923467768753,-0.09852195849048964,-0.15414100616339863,-0.1627022407710277,-0.09346923467768753,-0.09852195849048964,-0.11055213584024919,-0.13950802641830506,-0.09346923467768753
26,"('2019-11-21', '2019-11-30')",-0.08384026404468235,-0.13723464601860935,-0.08755514119536231,-0.08755514119536231,-0.09852195849048964,-0.11055213584024919,-0.11055213584024919,-0.12960894514855387,-0.08755514119536231,-0.08755514119536231,-0.13094679181067598,-0.19062902799253634,-0.08755514119536231,-0.08755514119536231,-0.08755514119536231,-0.11651103177341819,-0.08755514119536231
